isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,description_length,book_age,tag_clean
9780002188319,0002188317,The Complete Book of the World Cup,"All the Facts, Figures and Match Reports from Every Tournament",Cris Freddi,Soccer,https://books.google.com/books/content?id=HGbQOQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This is the ultimate reference book on the World Cup, with match-by-match articles featuring the biggest names in world football, plus results from every game played. All the statistics are here in one volume, enough to satisfy the most avid of World Cup fans, including team line-ups, goalscorers, stadiums, referees, crowd figures and exact dates, plus an authoritative records and statistics section, as well as detailed reports of every game played in the finals. From the brilliant Italian team, winners in 1934, and Geoff Hurst's hat-trick for England in 1966 to the fabulous Brazilian team of Pele, Tostao and Jairzinho of 1970, and the 1998 French side of Zidane, Deschamps and Desailly, all the fabulous memories and defining moments are captured in this one book. As well as the facts and feats, this book contains archive photographs of some of the most memorable images of football's greatest tournament.",1998,4.5,352.0,,148,28,soccer
9780002240802,0002240807,The Last Thing He Wanted,,Joan Didion,Adventure stories,https://via.placeholder.com/128x192.png?text=No+Cover,"Journalist Elena McMahon watches her evasive, gruff father's life ebbing away before her. A desire to understand hm impels her to do his bidding, to go into a situation in Central America, knowing neither what to expect, what to ask or what to define as achievement.",1997,4.5,227.0,,46,29,adventure stories
9780002246484,0002246481,Royal Assassin,,Robin Hobb,Assassins,https://books.google.com/books/content?id=B_DtAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Barely escaping with his life after his first mission, young Fitz returns to the chaotic royal court. With King Shrewd near death and Fitz's only ally off on a futile quest, the throne is ripe for the taking. And as the Red Ship Raiders brutalize the Six Duchies, the kingdom's fortunes-and Fitz's own fate--hang in the balance.",1996,4.5,579.0,,57,30,assassins
9780002252317,0002252317,Jack and Jill,,James Patterson,African American police,https://via.placeholder.com/128x192.png?text=No+Cover,"In the middle of the night, a controversial U.S. senator is found murdered in bed in his Georgetown pied-a-terre. The police turn up only one clue: a mysterious rhyme signed Jack and Jill promising that this is just the beginning. Jack and Jill are out to get the rich and famous, and they will stop at nothing until their fiendish plan is carried out. Meanwhile, Washington, D.C., homicide detective Alex Cross is called to a murder scene only blocks from his house, far from the corridors of power where he spends his days. The victim: a beautiful little girl, savagely beaten - and deposited in front of the elementary school Cross's son, Damon, attends. Could there be a connection between the two murders? As Cross tries to put the pieces together, the killer - or killers - strike again. And again. No one in Washington is safe - not children, not politicians, not even the President of the United States. Only Alex Cross has the skills and the courage to crack the case - but will he discover the truth in time?",1997,4.5,432.0,,182,29,african american police
9780002255752,0002255758,Fatal Terrain,,Dale Brown,Adventure stories,https://via.placeholder.com/128x192.png?text=No+Cover,"State-of-the-art action in the air, on land and at sea as the USA is drawn into conflict with China in this compelling and authentic new tale from an acclaimed master of the modern action-thriller.",1997,4.5,448.0,,34,29,adventure stories
9780002311038,0002311038,The Clocks,,Agatha Christie,Detective and mystery stories,https://books.google.com/books/content?id=oZICPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Volume 64 in the Agatha Christie Collection (1963) Limited edition of 1000 copies worldwide As instructed, stenographer Sheila Webb let herself into the house at 19 Wilbraham Crescent. It was then that she made a grisly discovery: the body of a dead man sprawled across the living room floor. What intrigued Poirot about the case was the time factor. Although in a state of shock, Sheila clearly remembered having heard a cuckoo clock strike three o'clock. Yet, the four other clocks in the living room all showed the time as 4.13. Even more strangely, only one of these clocks belonged to the owner of the house...",2002,4.5,221.0,,106,24,detective and mystery stories
9780002312820,0002312824,Evil Under the Sun,,Agatha Christie,Detective and mystery stories,https://books.google.com/books/content?id=OoikQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Volume 37 in the Agatha Christie Collection (1941) Limited edition of 800 copies worldwide It was not unusual to find the beautiful bronzed body of the sun-loving Arlena Stuart stretched out on a beach, face down. Only, on this occasion, there was no sun... she had been strangled. Ever since Arlena's arrival at the resort, Hercule Poirot had detected sexual tension in the seaside air. But could this apparent 'crime of passion' have been something more evil and premeditated altogether?",1999,4.5,298.0,,80,27,detective and mystery stories
9780002313247,0002313243,The Hollow,,Agatha Christie,Detective and mystery stories,https://books.google.com/books/content?id=GatPPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Volume 45 in the Agatha Christie Collection (1946) Limited edition of 1000 copies worldwide Lucy Angkatell invited Hercule Poirot to lunch. To tease the great detective, her guests stage a mock murder beside the swimming pool. Unfortunately, the victim plays the scene for real. As his blood drips into the water, John Christow gasps one final word: 'Henrietta'. In the confusion, a gun sinks to the bottom of the pool. Poirot's enquiries reveal a complex web of romantic attachments. It seems everyone in the drama is a suspect -- and each a victim of love.",2000,4.5,298.0,,95,26,detective and mystery stories
9780002316798,000231679X,Ordeal by Innocence,,Agatha Christie,"Poirot, Hercule (Fictitious character)",https://books.google.com/books/content?id=g7tQPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"While serving a life sentence for killing his mother, Jacko Argyle dies. Two years later, a stranger shatters the peace of the Argyle household. Can Arthur Calgary provide the missing link in Jacko's defence? Was Jacko sentenced for a murder he didn't commit?",2002,4.5,218.0,,43,24,"poirot, hercule (fictitious character)"
9780002318075,0002318075,Third Girl,,Agatha Christie,Belgians,https://books.google.com/books/content?id=lIjdvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Volume 67 in the Agatha Christie Collection (1966) Limited edition of 1000 copies worldwide. Three single girls shared the same London flat. The first worked as a secretary; the second was an artist; the third who came to Poirot for help, disappeared convinced she was a murderer. Now there were rumours of revolvers, flick-knives and blood stains. But, without hard evidence, it would take all Poirot's tenacity to establish whether the third girl was guilty innocent or insane...",2002,4.5,221.0,,78,24,belgians
